spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t-1,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t-1,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t-1,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t-1,residential_percent_change_from_baseline_ t
1,2020/05/04,51.857142857142854,51.857142857142854,1781.5714285714287,1369.5714285714287,185.0,164.71428571428572,-47.285714285714285,-42.857142857142854,-19.0,-12.428571428571429,14.571428571428571,19.142857142857142,-60.57142857142857,-60.0,18.571428571428573,18.0
1,2020/05/11,31.428571428571427,31.428571428571427,1369.5714285714287,1177.2857142857142,164.71428571428572,119.85714285714286,-42.857142857142854,-40.0,-12.428571428571429,-12.285714285714286,19.142857142857142,42.0,-60.0,-56.857142857142854,18.0,16.714285714285715
1,2020/05/18,19.571428571428573,19.571428571428573,1177.2857142857142,1110.5714285714287,119.85714285714286,95.0,-40.0,-33.714285714285715,-12.285714285714286,-7.285714285714286,42.0,79.57142857142857,-56.857142857142854,-53.42857142857143,16.714285714285715,15.714285714285714
1,2020/05/25,17.571428571428573,17.571428571428573,1110.5714285714287,910.4285714285714,95.0,82.85714285714286,-33.714285714285715,-28.857142857142858,-7.285714285714286,-4.571428571428571,79.57142857142857,66.85714285714286,-53.42857142857143,-50.285714285714285,15.714285714285714,14.142857142857142
1,2020/06/01,10.571428571428571,10.571428571428571,910.4285714285714,671.2857142857143,82.85714285714286,51.857142857142854,-28.857142857142858,-26.571428571428573,-4.571428571428571,-3.5714285714285716,66.85714285714286,91.42857142857143,-50.285714285714285,-47.857142857142854,14.142857142857142,12.714285714285714
1,2020/06/08,9.142857142857142,9.142857142857142,671.2857142857143,460.85714285714283,51.857142857142854,31.428571428571427,-26.571428571428573,-22.857142857142858,-3.5714285714285716,-2.4285714285714284,91.42857142857143,101.42857142857143,-47.857142857142854,-46.57142857142857,12.714285714285714,11.714285714285714
1,2020/06/15,8.0,8.0,460.85714285714283,382.0,31.428571428571427,19.571428571428573,-22.857142857142858,-18.857142857142858,-2.4285714285714284,2.142857142857143,101.42857142857143,130.57142857142858,-46.57142857142857,-43.42857142857143,11.714285714285714,9.714285714285714
1,2020/06/22,5.0,5.0,382.0,302.14285714285717,19.571428571428573,17.571428571428573,-18.857142857142858,-18.142857142857142,2.142857142857143,0.0,130.57142857142858,125.28571428571429,-43.42857142857143,-41.857142857142854,9.714285714285714,9.857142857142858
1,2020/06/29,7.714285714285714,7.714285714285714,302.14285714285717,314.42857142857144,17.571428571428573,10.571428571428571,-18.142857142857142,-14.428571428571429,0.0,3.2857142857142856,125.28571428571429,166.0,-41.857142857142854,-42.42857142857143,9.857142857142858,9.0
1,2020/07/06,5.0,5.0,314.42857142857144,279.14285714285717,10.571428571428571,9.142857142857142,-14.428571428571429,-13.428571428571429,3.2857142857142856,2.7142857142857144,166.0,135.14285714285714,-42.42857142857143,-42.0,9.0,8.714285714285714
