spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t
1,2021/02/01,34.857142857142854,34.857142857142854,3615.1428571428573,102.71428571428571,-42.57142857142857,-15.428571428571429,-6.857142857142857,-62.285714285714285,15.142857142857142
1,2021/02/08,31.571428571428573,31.571428571428573,3087.285714285714,71.57142857142857,-36.42857142857143,-10.571428571428571,-13.714285714285714,-61.0,14.571428571428571
1,2021/02/15,28.714285714285715,28.714285714285715,2875.0,59.142857142857146,-35.142857142857146,-11.857142857142858,1.8571428571428572,-59.857142857142854,14.714285714285714
1,2021/02/22,28.428571428571427,28.428571428571427,2993.8571428571427,45.0,-30.285714285714285,-8.285714285714286,0.7142857142857143,-57.714285714285715,12.714285714285714
1,2021/03/01,29.285714285714285,29.285714285714285,2929.285714285714,34.857142857142854,-28.428571428571427,-7.285714285714286,6.0,-57.0,12.857142857142858
1,2021/03/08,33.42857142857143,33.42857142857143,3199.4285714285716,31.571428571428573,-24.142857142857142,-5.857142857142857,18.285714285714285,-54.42857142857143,11.714285714285714
1,2021/03/15,45.285714285714285,45.285714285714285,3494.5714285714284,28.714285714285715,-21.571428571428573,-3.5714285714285716,30.714285714285715,-52.42857142857143,11.285714285714286
1,2021/03/22,48.42857142857143,48.42857142857143,4429.714285714285,28.428571428571427,-21.714285714285715,-3.2857142857142856,24.0,-53.285714285714285,11.571428571428571
1,2021/03/29,45.57142857142857,45.57142857142857,5534.714285714285,29.285714285714285,-24.714285714285715,-2.2857142857142856,44.42857142857143,-54.857142857142854,12.142857142857142
1,2021/04/05,44.0,44.0,8422.285714285714,33.42857142857143,-25.714285714285715,-1.8571428571428572,64.71428571428571,-54.57142857142857,12.428571428571429
1,2021/04/12,46.714285714285715,46.714285714285715,8801.0,45.285714285714285,-29.571428571428573,-3.2857142857142856,47.57142857142857,-55.57142857142857,12.714285714285714
1,2021/04/19,43.142857142857146,43.142857142857146,8231.42857142857,48.42857142857143,-29.571428571428573,-3.0,37.0,-56.285714285714285,13.0
1,2021/04/26,,,7698.142857142857,45.57142857142857,-26.857142857142858,0.0,51.285714285714285,-54.42857142857143,12.285714285714286
1,2021/05/03,,,7535.285714285715,44.0,-24.285714285714285,4.571428571428571,56.0,-54.142857142857146,11.571428571428571
1,2021/05/10,,,6022.428571428572,46.714285714285715,-22.0,4.857142857142857,104.42857142857143,-51.42857142857143,10.857142857142858
1,2021/05/17,,,4384.714285714285,43.142857142857146,-19.571428571428573,8.428571428571429,112.14285714285714,-52.714285714285715,10.142857142857142
